Date,Well,Pot Gross,Pot Nett,Pot WC,Test,Date of Test,Production Zone,Status/Lifting,P.csg,P.tbg,P.fl,P.sep,Avg Prod Prev Month Gross,Avg Prod Prev Month Oil,Prev Day Gross,Prev Day Oil,Production Test Gross,Production Test Oil,Prod Act Gross,Prod Act Oil,Prod Act WC,Selisih Potensi,Selisih Last,Gas Inj (Mscfd),Gas Out SB (Mscfd),Gas Out SA (Mscfd),Gas Own (Mscfd),Tanggal Mulai Produksi,Keterangan,GS,CATEGORY,Bulan Ke,Date&Well,Struktur
2026-01-01,B-185,462.0,16.0,96.53679653679653,,2025-12-28 00:00:00,J-20,SB OF,340,94,94,28,586.6,18.233333333333334,593.0,28.0,592.6269132000001,28.029651300000005,593.0,28.0,95.27824620573357,12.0,0.0,282,558.0,,276.0,PES - 09.10.20,,I,,1,46023B-185,Bunyu
2026-01-01,B-186,18.5,8.5,54.054054054054056,,2025-12-30 00:00:00,R-50/Z-20/BB-10U/BB-10,SB OF,300,64,64,27,8.122916666666667,3.5659722222222223,48.0,16.0,48.0508308,16.0169436,48.0,16.0,66.66666666666666,7.5,0.0,274,322.0,,48.0,PES -13.02.25,,I,,1,46023B-186,Bunyu
2026-01-01,B-191,339.0,60.0,82.30088495575221,,2025-12-27 00:00:00,Z-20,52 Hz,0,167,167,25,221.90555555555554,53.597222222222214,262.0,63.0,261.61007880000005,62.7330291,262.0,63.0,75.95419847328245,3.0,0.0,0,267.0,,267.0,PES -08.07.23,,I,,1,46023B-191,Bunyu
2026-01-01,B-193,472.0,9.0,98.09322033898306,,2025-12-07 00:00:00,P-45,Tutup,0,0,0,0,489.1486111111111,7.584027777777777,0.0,0.0,0.01,0.0,0.0,0.0,,-9.0,0.0,0,0.0,,0.0,PES - 04.07.19,"Shut in, imbangi debit air di MGS",I,,1,46023B-193,Bunyu
2026-01-01,B-195,222.0,11.0,95.04504504504504,,2025-12-30 00:00:00,U-10/X-10,126 Hz,78,78,78,31,272.40277777777777,16.973958333333332,264.0,17.0,264.2795694,17.351688900000003,264.0,17.0,93.56060606060606,6.0,0.0,0,293.0,,293.0,PES-21.04.24,,I,,1,46023B-195,Bunyu
2026-01-01,B-197,0.0,0.0,0.0,,2025-09-27 00:00:00,U-10,Tutup,0,0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,PES-26.12.20,"Shut in, naikkan tekanan jaringan",I,,1,46023B-197,Bunyu
2026-01-01,B-203,107.0,8.0,92.5233644859813,,2025-12-26 00:00:00,J-20,SB OF,265,64,64,32,33.545970775462955,11.803182870370371,107.0,8.0,0.01,0.0,107.0,8.0,92.5233644859813,0.0,0.0,284,426.0,,142.0,KUPL-10.11.24,,I,,1,46023B-203,Bunyu
2026-01-01,B-207,33.0,27.0,18.181818181818183,,2025-12-29 00:00:00,T-50/X-90,SB OF,240,56,56,33,26.680555555555554,22.32222222222222,40.0,24.0,48.0508308,26.694906,40.0,24.0,40.0,-3.0,0.0,232,297.0,,65.0,KUPL- 02.09.21,,I,,1,46023B-207,Bunyu
2026-01-01,B-211,122.0,18.5,84.8360655737705,,2025-12-29 00:00:00,BB-10/W-20/W-30/X-10/Z-20,SA OF,290,109,109,32,63.68611111111112,19.033333333333335,96.5,25.25,70.7415009,32.0338872,96.5,25.25,73.83419689119171,6.75,0.0,0,0.0,513.0,513.0,KUPL-02.11.25,,I,,1,46023B-211,Bunyu
2026-01-01,B-212,149.0,5.0,96.64429530201343,,2025-12-30 00:00:00,X-80,SA 13,349,324,67,26,78.5,1.225,16.0,0.0,16.0169436,0.0,16.0,0.0,100.0,-5.0,0.0,0,0.0,277.0,277.0,PES-14.09.24,,I,,1,46023B-212,Bunyu
2026-01-01,B-213,574.0,40.0,93.03135888501743,,2025-12-29 00:00:00,T-60,108 Hz,101,101,101,26,0,0,478.0,43.0,477.8388174000001,42.7118496,478.0,43.0,91.0041841004184,3.0,0.0,0,278.0,,278.0,PES-16.11.25,,I,,1,46023B-213,Bunyu
2026-01-01,B-217,448.0,35.0,92.1875,T,2026-01-01 00:00:00,L-10,SB OF,310,75,75,26,340.73333333333335,27.266666666666666,467.0,40.0,445.80493020000006,42.7118496,446.0,43.0,90.35874439461884,8.0,3.0,441,441.0,,0.0,PES-26.07.24,,I,,1,46023B-217,Bunyu
2026-01-01,B-219,745.0,48.0,93.55704697986577,T,2026-01-01 00:00:00,O-95/P-45,SB OF,350,78,78,30,798.6666666666666,43.7,695.0,49.0,680.7201030000001,50.18642328,681.0,50.0,92.65785609397945,2.0,1.0,288,288.0,,0.0,BOR-24.01.22,,I,,1,46023B-219,Bunyu
2026-01-01,B-221,0.0,0.0,0.0,,2025-12-14 00:00:00,"U-10U, U-10L, U-20",Tutup,0,0,0,0,8.433333333333334,6.21875,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,KUPL-21.07.24,Program WO,I,,1,46023B-221,Bunyu
